"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,28,"BOL","Bolivia",1,"Chuquisaca",1,"Belisario Boeto",1,"Villa Serrano","Município","Municipality",NA,NA
2,28,"BOL","Bolivia",1,"Chuquisaca",2,"Hernando Siles",2,"Huacareta","Município","Municipality",NA,NA
3,28,"BOL","Bolivia",1,"Chuquisaca",2,"Hernando Siles",3,"Monteagudo","Município","Municipality",NA,NA
4,28,"BOL","Bolivia",1,"Chuquisaca",3,"Jaime Zudáñez",4,"Icla","Município","Municipality",NA,NA
5,28,"BOL","Bolivia",1,"Chuquisaca",3,"Jaime Zudáñez",5,"Mojocoya","Município","Municipality",NA,NA
6,28,"BOL","Bolivia",1,"Chuquisaca",3,"Jaime Zudáñez",6,"Presto","Município","Municipality",NA,NA
7,28,"BOL","Bolivia",1,"Chuquisaca",3,"Jaime Zudáñez",7,"Villa Zudáñez","Município","Municipality",NA,NA
8,28,"BOL","Bolivia",1,"Chuquisaca",4,"Juana Azurduay de Padilla",8,"Tarvita","Município","Municipality",NA,NA
9,28,"BOL","Bolivia",1,"Chuquisaca",4,"Juana Azurduay de Padilla",9,"Villa Azurduy","Município","Municipality",NA,NA
10,28,"BOL","Bolivia",1,"Chuquisaca",5,"Luis Calvo",10,"Macharetí","Município","Municipality",NA,NA
11,28,"BOL","Bolivia",1,"Chuquisaca",5,"Luis Calvo",11,"Villa de Huacaya","Município","Municipality",NA,NA
12,28,"BOL","Bolivia",1,"Chuquisaca",5,"Luis Calvo",12,"Villa Vaca Guzmán","Município","Municipality",NA,NA
13,28,"BOL","Bolivia",1,"Chuquisaca",6,"Nor Cinti",13,"Camargo","Município","Municipality",NA,NA
14,28,"BOL","Bolivia",1,"Chuquisaca",6,"Nor Cinti",14,"Incahuasi","Município","Municipality",NA,NA
15,28,"BOL","Bolivia",1,"Chuquisaca",6,"Nor Cinti",15,"San Lucas","Município","Municipality",NA,NA
16,28,"BOL","Bolivia",1,"Chuquisaca",7,"Oropeza",16,"Poroma","Município","Municipality",NA,NA
17,28,"BOL","Bolivia",1,"Chuquisaca",7,"Oropeza",17,"Sucre","Município","Municipality",NA,NA
18,28,"BOL","Bolivia",1,"Chuquisaca",7,"Oropeza",18,"Yotala","Município","Municipality",NA,NA
19,28,"BOL","Bolivia",1,"Chuquisaca",8,"Sud Cinti",19,"Camataqui","Município","Municipality",NA,NA
20,28,"BOL","Bolivia",1,"Chuquisaca",8,"Sud Cinti",20,"Culpina","Município","Municipality",NA,NA
21,28,"BOL","Bolivia",1,"Chuquisaca",8,"Sud Cinti",21,"Las Carreras","Município","Municipality",NA,NA
22,28,"BOL","Bolivia",1,"Chuquisaca",9,"Tomina",22,"El Villar","Município","Municipality",NA,NA
23,28,"BOL","Bolivia",1,"Chuquisaca",9,"Tomina",23,"Padilla","Município","Municipality",NA,NA
24,28,"BOL","Bolivia",1,"Chuquisaca",9,"Tomina",24,"Sopachuy","Município","Municipality",NA,NA
25,28,"BOL","Bolivia",1,"Chuquisaca",9,"Tomina",25,"Tomina","Município","Municipality",NA,NA
26,28,"BOL","Bolivia",1,"Chuquisaca",9,"Tomina",26,"Villa Alcalá","Município","Municipality",NA,NA
27,28,"BOL","Bolivia",1,"Chuquisaca",10,"Yamparáez",27,"Tarabuco","Município","Municipality",NA,NA
28,28,"BOL","Bolivia",1,"Chuquisaca",10,"Yamparáez",28,"Yamparáez","Município","Municipality",NA,NA
29,28,"BOL","Bolivia",2,"Cochabamba",11,"Arani",29,"Arani","Município","Municipality",NA,NA
30,28,"BOL","Bolivia",2,"Cochabamba",11,"Arani",30,"Tiraque","Município","Municipality",NA,NA
31,28,"BOL","Bolivia",2,"Cochabamba",11,"Arani",31,"Vacas","Município","Municipality",NA,NA
32,28,"BOL","Bolivia",2,"Cochabamba",12,"Arque",32,"Arque","Município","Municipality",NA,NA
33,28,"BOL","Bolivia",2,"Cochabamba",12,"Arque",33,"Bolívar","Município","Municipality",NA,NA
34,28,"BOL","Bolivia",2,"Cochabamba",12,"Arque",34,"Tacopaya","Município","Municipality",NA,NA
35,28,"BOL","Bolivia",2,"Cochabamba",13,"Ayopaya",35,"Ayopaya","Município","Municipality",NA,NA
36,28,"BOL","Bolivia",2,"Cochabamba",13,"Ayopaya",36,"Morochata","Município","Municipality",NA,NA
37,28,"BOL","Bolivia",2,"Cochabamba",14,"Capinota",37,"Capinota","Município","Municipality",NA,NA
38,28,"BOL","Bolivia",2,"Cochabamba",14,"Capinota",38,"Santiváñez","Município","Municipality",NA,NA
39,28,"BOL","Bolivia",2,"Cochabamba",14,"Capinota",39,"Sicaya","Município","Municipality",NA,NA
40,28,"BOL","Bolivia",2,"Cochabamba",15,"Carrasco",40,"Chimoré","Município","Municipality",NA,NA
41,28,"BOL","Bolivia",2,"Cochabamba",15,"Carrasco",41,"Pocona","Município","Municipality",NA,NA
42,28,"BOL","Bolivia",2,"Cochabamba",15,"Carrasco",42,"Pojo","Município","Municipality",NA,NA
43,28,"BOL","Bolivia",2,"Cochabamba",15,"Carrasco",43,"Puerto Villarroel","Município","Municipality",NA,NA
44,28,"BOL","Bolivia",2,"Cochabamba",15,"Carrasco",44,"Totora","Município","Municipality",NA,NA
45,28,"BOL","Bolivia",2,"Cochabamba",16,"Cercado",45,"Cochabamba","Município","Municipality",NA,NA
46,28,"BOL","Bolivia",2,"Cochabamba",16,"Cercado",46,"Colcapirhua","Município","Municipality",NA,NA
47,28,"BOL","Bolivia",2,"Cochabamba",17,"Chapare",47,"Colomi","Município","Municipality",NA,NA
48,28,"BOL","Bolivia",2,"Cochabamba",17,"Chapare",48,"Sacaba","Município","Municipality",NA,NA
